Bot: basic_strategy_bot
Stake: white
Deck: RED
Profile: P1
Unlocks: all
Seeds: 1000
First seed: 2132984486
Bot: basic_strategy_bot
Stake: white
Deck: RED
Profile: P1
Unlocks: all
Seeds: 1000
Seed label: white:basic-strategy-2026-04-30-1000
First seed: 2132984486
Endpoints: http://127.0.0.1:12347, http://127.0.0.1:12348, http://127.0.0.1:12349, http://127.0.0.1:12350, http://127.0.0.1:12351, http://127.0.0.1:12352
Replay mode: summary
Start retries: 1
Failed seed retries: 2
[228/1000] seed=126888502 won=False ante=4 score=3638 money=28 runtime=511.39s
[229/1000] seed=758291474 won=False ante=5 score=12966 money=27 runtime=410.13s
[230/1000] seed=600566369 won=False ante=6 score=28302 money=63 runtime=1882.04s
[231/1000] seed=892889326 won=False ante=5 score=10707 money=64 runtime=852.17s
[232/1000] seed=1440434107 won=False ante=2 score=2314 money=21 runtime=361.63s
[233/1000] seed=39342931 won=False ante=5 score=13980 money=52 runtime=463.48s
[234/1000] seed=2120404225 won=False ante=6 score=29418 money=56 runtime=1209.69s
[235/1000] seed=1874173060 won=False ante=7 score=50490 money=82 runtime=1117.98s
[236/1000] seed=2112427741 won=True ante=8 score=97274 money=139 runtime=1753.74s
[237/1000] seed=81433467 won=False ante=6 score=10634 money=53 runtime=1365.67s
[238/1000] seed=1544757190 won=False ante=4 score=7616 money=25 runtime=254.23s
[239/1000] seed=1880356021 won=False ante=6 score=21762 money=28 runtime=1854.49s
[240/1000] seed=2081706560 won=False ante=7 score=26449 money=92 runtime=1874.39s
[241/1000] seed=640689723 won=False ante=8 score=58200 money=77 runtime=2191.02s
[242/1000] seed=192561830 won=False ante=2 score=788 money=5 runtime=88.72s
[243/1000] seed=795451370 won=False ante=6 score=16473 money=41 runtime=1325.92s
[244/1000] seed=1725301138 won=True ante=8 score=312861 money=181 runtime=388.82s
[245/1000] seed=1462274162 won=False ante=5 score=12195 money=1 runtime=1092.36s
[246/1000] seed=1697550473 won=False ante=6 score=33921 money=111 runtime=232.79s
[247/1000] seed=1879647703 won=False ante=5 score=19880 money=6 runtime=930.27s
[248/1000] seed=1869356477 won=False ante=1 score=585 money=0 runtime=69.66s
[249/1000] seed=1986408432 won=False ante=5 score=6701 money=61 runtime=418.39s
[250/1000] seed=648635345 won=False ante=7 score=63310 money=0 runtime=254.52s
[251/1000] seed=476268593 won=False ante=5 score=25588 money=63 runtime=316.37s
[252/1000] seed=159658840 won=False ante=2 score=918 money=13 runtime=164.59s
[253/1000] seed=1463391786 won=False ante=5 score=11374 money=52 runtime=925.03s
[254/1000] seed=848799791 won=False ante=5 score=15462 money=6 runtime=1016.76s
[255/1000] seed=996376791 won=False ante=3 score=3625 money=24 runtime=739.97s
[256/1000] seed=831536114 won=False ante=6 score=38968 money=47 runtime=503.07s
[257/1000] seed=486162684 won=False ante=6 score=29585 money=118 runtime=809.35s
[258/1000] seed=638012803 won=False ante=6 score=19663 money=0 runtime=7718.31s
[259/1000] seed=535683599 won=False ante=4 score=2180 money=67 runtime=647.05s
[260/1000] seed=1297864020 won=False ante=4 score=6188 money=62 runtime=532.23s
[261/1000] seed=1302114746 won=False ante=1 score=588 money=7 runtime=88.02s
[262/1000] seed=449837602 won=False ante=7 score=34798 money=98 runtime=1301.71s
[263/1000] seed=1921476672 won=False ante=3 score=1674 money=42 runtime=162.05s
[264/1000] seed=402973408 won=False ante=5 score=13303 money=62 runtime=1569.68s
[265/1000] seed=1657625452 won=False ante=6 score=19198 money=105 runtime=1174.88s
[266/1000] seed=174466270 won=False ante=1 score=272 money=4 runtime=34.29s
[267/1000] seed=1347243715 won=False ante=4 score=2164 money=7 runtime=1004.92s
[268/1000] seed=1556537920 won=False ante=4 score=11941 money=39 runtime=780.47s
[269/1000] seed=634411008 won=False ante=0 score=0 money=0 runtime=133.05s death=error:BalatroBridgeError: Balatro bridge error: {'data': {'name': 'BAD_REQUEST'}, 'code': -32001, 'message': 'Cannot purchase joker card, jo
[270/1000] seed=660988251 won=False ante=6 score=5680 money=7 runtime=628.52s
[271/1000] seed=153273337 won=False ante=2 score=1508 money=45 runtime=294.75s
[272/1000] seed=1746123372 won=False ante=4 score=3062 money=17 runtime=1230.59s
[273/1000] seed=689228114 won=False ante=3 score=1458 money=5 runtime=615.35s
[274/1000] seed=498382438 won=True ante=8 score=86608 money=125 runtime=1764.98s
[275/1000] seed=746780049 won=False ante=5 score=20740 money=23 runtime=1189.38s
[276/1000] seed=1228504311 won=False ante=1 score=162 money=1 runtime=66.57s
[277/1000] seed=321775214 won=False ante=6 score=6601 money=113 runtime=1614.25s
[278/1000] seed=1868494819 won=False ante=4 score=16641 money=34 runtime=1062.04s
[279/1000] seed=1366080748 won=False ante=7 score=6693 money=106 runtime=345.77s
[280/1000] seed=1149006420 won=False ante=2 score=862 money=11 runtime=133.36s
[281/1000] seed=42925308 won=False ante=6 score=36475 money=75 runtime=1302.45s
